,Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Place Code,Declared County/Area,Declaration Request Number,Incident Duration Days,time
1365,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99105.0,Polk (County),17103.0,44 days 00:00:00.000000000,2017Q3
1366,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99107.0,Putnam (County),17103.0,44 days 00:00:00.000000000,2017Q3
1367,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99109.0,St. Johns (County),17103.0,44 days 00:00:00.000000000,2017Q3
1368,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99111.0,St. Lucie (County),17103.0,44 days 00:00:00.000000000,2017Q3
1369,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99113.0,Santa Rosa (County),17103.0,44 days 00:00:00.000000000,2017Q3
1370,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99115.0,Sarasota (County),17103.0,44 days 00:00:00.000000000,2017Q3
1371,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99117.0,Seminole (County),17103.0,44 days 00:00:00.000000000,2017Q3
1372,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99119.0,Sumter (County),17103.0,44 days 00:00:00.000000000,2017Q3
1373,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99121.0,Suwannee (County),17103.0,44 days 00:00:00.000000000,2017Q3
1374,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99123.0,Taylor (County),17103.0,44 days 00:00:00.000000000,2017Q3
1375,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99125.0,Union (County),17103.0,44 days 00:00:00.000000000,2017Q3
1376,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99127.0,Volusia (County),17103.0,44 days 00:00:00.000000000,2017Q3
1377,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99129.0,Wakulla (County),17103.0,44 days 00:00:00.000000000,2017Q3
1378,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99131.0,Walton (County),17103.0,44 days 00:00:00.000000000,2017Q3
1379,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99133.0,Washington (County),17103.0,44 days 00:00:00.000000000,2017Q3
1412,3388.0,No,No,Yes,No,FL,9/8/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-04,32125.0,Hollywood Indian Reservation,17101.0,30 days 00:00:00.000000000,2017Q3
1622,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99001.0,Alachua (County),17094.0,44 days 00:00:00.000000000,2017Q3
1623,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99003.0,Baker (County),17094.0,44 days 00:00:00.000000000,2017Q3
1624,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99005.0,Bay (County),17094.0,44 days 00:00:00.000000000,2017Q3
1625,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99007.0,Bradford (County),17094.0,44 days 00:00:00.000000000,2017Q3
1626,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99009.0,Brevard (County),17094.0,44 days 00:00:00.000000000,2017Q3
1627,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99011.0,Broward (County),17094.0,44 days 00:00:00.000000000,2017Q3
1628,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99013.0,Calhoun (County),17094.0,44 days 00:00:00.000000000,2017Q3
1629,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99015.0,Charlotte (County),17094.0,44 days 00:00:00.000000000,2017Q3
1630,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99017.0,Citrus (County),17094.0,44 days 00:00:00.000000000,2017Q3
1631,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99019.0,Clay (County),17094.0,44 days 00:00:00.000000000,2017Q3
1632,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99021.0,Collier (County),17094.0,44 days 00:00:00.000000000,2017Q3
1633,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99023.0,Columbia (County),17094.0,44 days 00:00:00.000000000,2017Q3
1634,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99027.0,DeSoto (County),17094.0,44 days 00:00:00.000000000,2017Q3
1635,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99029.0,Dixie (County),17094.0,44 days 00:00:00.000000000,2017Q3
1636,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99031.0,Duval (County),17094.0,44 days 00:00:00.000000000,2017Q3
1637,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99033.0,Escambia (County),17094.0,44 days 00:00:00.000000000,2017Q3
1638,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99035.0,Flagler (County),17094.0,44 days 00:00:00.000000000,2017Q3
1639,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99037.0,Franklin (County),17094.0,44 days 00:00:00.000000000,2017Q3
